Dimension,Propuesta de Valor,Valor,Fortalezas,Debilidades
Propuesta de Valor,Pregunta 1 - Propuesta de Valor [La propuestas de valor esta en consonancia con las necesidades de los clientes],4
Propuesta de Valor,Pregunta 1 - Propuesta de Valor [La propuesta de valor y las necesidades de los clientes no estan en consonancia],0
Propuesta de Valor,Pregunta 2 - Propuesta de Valor [La propuesta de valor tienen un potente efecto de red],2
Propuesta de Valor,Pregunta 2 - Propuesta de Valor [La propuesta de valor no tiene un potente efecto de red],0
Propuesta de Valor,Pregunta 3 - Propuesta de Valor [Hay fuertes sinergias entre nuestros productos y servicios],4
Propuesta de Valor,Pregunta 3 - Propuesta de Valor [No hay sinergias entre nuestros productos y servicios],0
Propuesta de Valor,Pregunta 4 - Propuesta de Valor [Nuestras clientes estan muy satisfechos],4
Propuesta de Valor,Pregunta 4 - Propuesta de Valor [Recibimos quejas con frecuencia],0
Flujos de Ingreso,Pregunta 1 - Modelo Ingresos y Costos [Tenemos margenes netos elevados],4
Flujos de Ingreso,Pregunta 1 - Modelo Ingresos y Costos [Nuestros margenes netos son reducidos],0
Flujos de Ingreso,Pregunta 2 - Modelo Ingresos y Costos [Nuestros ingresos son predecibles],0
Flujos de Ingreso,Pregunta 2 - Modelo Ingresos y Costos [Nuestros ingresos son impredecibles],4
Flujos de Ingreso,Pregunta 3 - Modelo Ingresos y Costos [Tenemos fuentes de ingresos recurrentes y compras repetidas frecuentes],0
Flujos de Ingreso,Pregunta 3 - Modelo Ingresos y Costos [Nuestros ingresos son transaccionales y tenemos pocas compras repetidas],4
Flujos de Ingreso,Pregunta 4 - Modelo Ingresos y Costos [Tenemos fuentes de ingresos diversificadas],3
Flujos de Ingreso,Pregunta 4 - Modelo Ingresos y Costos [Dependemos de una sola fuente de ingresos],0
